_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,C-14 POPULATION IN FIVE YEAR AGE-GROUP BY RESIDENCE AND SEX ,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10,_unnamed_11,_unnamed_12,_unnamed_13
Table,State,Distt.,Area Name,Age-group,Total ,,,Rural,,,Urban,,
Name,Code,Code,,,,,,,,,,,
,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C4114,00,000,India,All ages,1210854977.0,623270258.0,587584719.0,833748852.0,427781058.0,405967794.0,377106125.0,195489200.0,181616925.0
C4114,00,000,India,0-4,112806778.0,58632074.0,54174704.0,82986660.0,43036377.0,39950283.0,29820118.0,15595697.0,14224421.0
C4114,00,000,India,5-9,126928126.0,66300466.0,60627660.0,93807612.0,48825259.0,44982353.0,33120514.0,17475207.0,15645307.0
C4114,00,000,India,10-14,132709212.0,69418835.0,63290377.0,96804494.0,50488158.0,46316336.0,35904718.0,18930677.0,16974041.0
C4114,00,000,India,15-19,120526449.0,63982396.0,56544053.0,83902472.0,44570557.0,39331915.0,36623977.0,19411839.0,17212138.0
C4114,00,000,India,20-24,111424222.0,57584693.0,53839529.0,73835046.0,38138662.0,35696384.0,37589176.0,19446031.0,18143145.0
C4114,00,000,India,25-29,101413965.0,51344208.0,50069757.0,66068270.0,33375989.0,32692281.0,35345695.0,17968219.0,17377476.0
C4114,00,000,India,30-34,88594951.0,44660674.0,43934277.0,57911779.0,28934192.0,28977587.0,30683172.0,15726482.0,14956690.0
C4114,00,000,India,35-39,85140684.0,42919381.0,42221303.0,56062707.0,28125561.0,27937146.0,29077977.0,14793820.0,14284157.0
C4114,00,000,India,40-44,72438112.0,37545386.0,34892726.0,47581008.0,24565235.0,23015773.0,24857104.0,12980151.0,11876953.0
C4114,00,000,India,45-49,62318327.0,32138114.0,30180213.0,40688228.0,20864270.0,19823958.0,21630099.0,11273844.0,10356255.0
C4114,00,000,India,50-54,49069254.0,25843266.0,23225988.0,32031788.0,16789547.0,15242241.0,17037466.0,9053719.0,7983747.0
C4114,00,000,India,55-59,39146055.0,19456012.0,19690043.0,25861514.0,12536529.0,13324985.0,13284541.0,6919483.0,6365058.0
C4114,00,000,India,60-64,37663707.0,18701749.0,18961958.0,26291245.0,12931592.0,13359653.0,11372462.0,5770157.0,5602305.0
C4114,00,000,India,65-69,26454983.0,12944326.0,13510657.0,18916270.0,9208311.0,9707959.0,7538713.0,3736015.0,3802698.0
C4114,00,000,India,70-74,19208842.0,9651499.0,9557343.0,13807600.0,6978179.0,6829421.0,5401242.0,2673320.0,2727922.0
C4114,00,000,India,75-79,9232503.0,4490603.0,4741900.0,6383717.0,3113424.0,3270293.0,2848786.0,1377179.0,1471607.0
C4114,00,000,India,80+,11289005.0,5283695.0,6005310.0,7894990.0,3765796.0,4129194.0,3394015.0,1517899.0,1876116.0
C4114,00,000,India,Age not stated,4489802.0,2372881.0,2116921.0,2913452.0,1533420.0,1380032.0,1576350.0,839461.0,736889.0
C4114,01,000,State - JAMMU & KASHMIR (01),All ages,12541302.0,6640662.0,5900640.0,9108060.0,4774477.0,4333583.0,3433242.0,1866185.0,1567057.0
C4114,01,000,State - JAMMU & KASHMIR (01),0-4,1414884.0,763501.0,651383.0,1115289.0,600891.0,514398.0,299595.0,162610.0,136985.0
C4114,01,000,State - JAMMU & KASHMIR (01),5-9,1411973.0,746818.0,665155.0,1109056.0,584994.0,524062.0,302917.0,161824.0,141093.0
C4114,01,000,State - JAMMU & KASHMIR (01),10-14,1413853.0,744855.0,668998.0,1097236.0,575511.0,521725.0,316617.0,169344.0,147273.0
C4114,01,000,State - JAMMU & KASHMIR (01),15-19,1237462.0,640362.0,597100.0,926108.0,477098.0,449010.0,311354.0,163264.0,148090.0
C4114,01,000,State - JAMMU & KASHMIR (01),20-24,1160913.0,603578.0,557335.0,827361.0,423292.0,404069.0,333552.0,180286.0,153266.0
C4114,01,000,State - JAMMU & KASHMIR (01),25-29,1086122.0,584559.0,501563.0,738568.0,385544.0,353024.0,347554.0,199015.0,148539.0
C4114,01,000,State - JAMMU & KASHMIR (01),30-34,926903.0,495746.0,431157.0,636137.0,333062.0,303075.0,290766.0,162684.0,128082.0
C4114,01,000,State - JAMMU & KASHMIR (01),35-39,837945.0,441265.0,396680.0,568825.0,294268.0,274557.0,269120.0,146997.0,122123.0
C4114,01,000,State - JAMMU & KASHMIR (01),40-44,714085.0,387739.0,326346.0,483222.0,256988.0,226234.0,230863.0,130751.0,100112.0
C4114,01,000,State - JAMMU & KASHMIR (01),45-49,590790.0,311560.0,279230.0,395959.0,205036.0,190923.0,194831.0,106524.0,88307.0
C4114,01,000,State - JAMMU & KASHMIR (01),50-54,468566.0,255599.0,212967.0,319992.0,173804.0,146188.0,148574.0,81795.0,66779.0
C4114,01,000,State - JAMMU & KASHMIR (01),55-59,340031.0,172753.0,167278.0,227495.0,114641.0,112854.0,112536.0,58112.0,54424.0
C4114,01,000,State - JAMMU & KASHMIR (01),60-64,322726.0,173427.0,149299.0,226005.0,121240.0,104765.0,96721.0,52187.0,44534.0
C4114,01,000,State - JAMMU & KASHMIR (01),65-69,203965.0,102743.0,101222.0,140720.0,70780.0,69940.0,63245.0,31963.0,31282.0
C4114,01,000,State - JAMMU & KASHMIR (01),70-74,184019.0,97472.0,86547.0,132084.0,70777.0,61307.0,51935.0,26695.0,25240.0
C4114,01,000,State - JAMMU & KASHMIR (01),75-79,85076.0,43094.0,41982.0,58918.0,29980.0,28938.0,26158.0,13114.0,13044.0
C4114,01,000,State - JAMMU & KASHMIR (01),80+,126870.0,65844.0,61026.0,94242.0,49712.0,44530.0,32628.0,16132.0,16496.0
C4114,01,000,State - JAMMU & KASHMIR (01),Age not stated,15119.0,9747.0,5372.0,10843.0,6859.0,3984.0,4276.0,2888.0,1388.0
C4114,02,000,State - HIMACHAL PRADESH (02),All ages,6864602.0,3481873.0,3382729.0,6176050.0,3110345.0,3065705.0,688552.0,371528.0,317024.0
C4114,02,000,State - HIMACHAL PRADESH (02),0-4,544984.0,285011.0,259973.0,500931.0,261743.0,239188.0,44053.0,23268.0,20785.0
C4114,02,000,State - HIMACHAL PRADESH (02),5-9,591177.0,311457.0,279720.0,537559.0,282441.0,255118.0,53618.0,29016.0,24602.0
C4114,02,000,State - HIMACHAL PRADESH (02),10-14,639224.0,338240.0,300984.0,580265.0,305500.0,274765.0,58959.0,32740.0,26219.0
C4114,02,000,State - HIMACHAL PRADESH (02),15-19,640461.0,336729.0,303732.0,575991.0,300554.0,275437.0,64470.0,36175.0,28295.0
C4114,02,000,State - HIMACHAL PRADESH (02),20-24,643866.0,323720.0,320146.0,573439.0,285167.0,288272.0,70427.0,38553.0,31874.0
C4114,02,000,State - HIMACHAL PRADESH (02),25-29,589160.0,290125.0,299035.0,523605.0,255016.0,268589.0,65555.0,35109.0,30446.0
C4114,02,000,State - HIMACHAL PRADESH (02),30-34,546357.0,271253.0,275104.0,485375.0,239272.0,246103.0,60982.0,31981.0,29001.0
C4114,02,000,State - HIMACHAL PRADESH (02),35-39,517966.0,258230.0,259736.0,459275.0,227906.0,231369.0,58691.0,30324.0,28367.0
C4114,02,000,State - HIMACHAL PRADESH (02),40-44,445560.0,222269.0,223291.0,394635.0,195137.0,199498.0,50925.0,27132.0,23793.0
C4114,02,000,State - HIMACHAL PRADESH (02),45-49,395128.0,197642.0,197486.0,350793.0,173489.0,177304.0,44335.0,24153.0,20182.0
C4114,02,000,State - HIMACHAL PRADESH (02),50-54,330687.0,165724.0,164963.0,295411.0,145792.0,149619.0,35276.0,19932.0,15344.0
C4114,02,000,State - HIMACHAL PRADESH (02),55-59,266860.0,135245.0,131615.0,240093.0,119998.0,120095.0,26767.0,15247.0,11520.0
C4114,02,000,State - HIMACHAL PRADESH (02),60-64,231372.0,115464.0,115908.0,212263.0,105331.0,106932.0,19109.0,10133.0,8976.0
C4114,02,000,State - HIMACHAL PRADESH (02),65-69,158607.0,78387.0,80220.0,146096.0,71950.0,74146.0,12511.0,6437.0,6074.0
C4114,02,000,State - HIMACHAL PRADESH (02),70-74,130587.0,62119.0,68468.0,120932.0,57250.0,63682.0,9655.0,4869.0,4786.0
C4114,02,000,State - HIMACHAL PRADESH (02),75-79,75706.0,36440.0,39266.0,69958.0,33561.0,36397.0,5748.0,2879.0,2869.0
C4114,02,000,State - HIMACHAL PRADESH (02),80+,106737.0,48465.0,58272.0,100043.0,45339.0,54704.0,6694.0,3126.0,3568.0
C4114,02,000,State - HIMACHAL PRADESH (02),Age not stated,10163.0,5353.0,4810.0,9386.0,4899.0,4487.0,777.0,454.0,323.0
C4114,03,000,State - PUNJAB (03),All ages,27743338.0,14639465.0,13103873.0,17344192.0,9093476.0,8250716.0,10399146.0,5545989.0,4853157.0
C4114,03,000,State - PUNJAB (03),0-4,2133529.0,1149956.0,983573.0,1351369.0,729984.0,621385.0,782160.0,419972.0,362188.0
C4114,03,000,State - PUNJAB (03),5-9,2368019.0,1301682.0,1066337.0,1507022.0,827905.0,679117.0,860997.0,473777.0,387220.0
C4114,03,000,State - PUNJAB (03),10-14,2583402.0,1445530.0,1137872.0,1668828.0,931366.0,737462.0,914574.0,514164.0,400410.0
C4114,03,000,State - PUNJAB (03),15-19,2817683.0,1570180.0,1247503.0,1814427.0,1003831.0,810596.0,1003256.0,566349.0,436907.0
C4114,03,000,State - PUNJAB (03),20-24,2776636.0,1465531.0,1311105.0,1706833.0,888739.0,818094.0,1069803.0,576792.0,493011.0
C4114,03,000,State - PUNJAB (03),25-29,2463861.0,1270405.0,1193456.0,1455456.0,738196.0,717260.0,1008405.0,532209.0,476196.0
C4114,03,000,State - PUNJAB (03),30-34,2116539.0,1082533.0,1034006.0,1263506.0,636268.0,627238.0,853033.0,446265.0,406768.0
C4114,03,000,State - PUNJAB (03),35-39,1989071.0,1010862.0,978209.0,1202842.0,604249.0,598593.0,786229.0,406613.0,379616.0
C4114,03,000,State - PUNJAB (03),40-44,1788469.0,909208.0,879261.0,1102644.0,555906.0,546738.0,685825.0,353302.0,332523.0
C4114,03,000,State - PUNJAB (03),45-49,1587771.0,818135.0,769636.0,964942.0,495583.0,469359.0,622829.0,322552.0,300277.0
C4114,03,000,State - PUNJAB (03),50-54,1254464.0,663664.0,590800.0,749857.0,397863.0,351994.0,504607.0,265801.0,238806.0
C4114,03,000,State - PUNJAB (03),55-59,956555.0,485845.0,470710.0,569146.0,283796.0,285350.0,387409.0,202049.0,185360.0
C4114,03,000,State - PUNJAB (03),60-64,996590.0,482483.0,514107.0,654729.0,309825.0,344904.0,341861.0,172658.0,169203.0
C4114,03,000,State - PUNJAB (03),65-69,719588.0,372806.0,346782.0,496111.0,257824.0,238287.0,223477.0,114982.0,108495.0
C4114,03,000,State - PUNJAB (03),70-74,513472.0,272120.0,241352.0,356117.0,191121.0,164996.0,157355.0,80999.0,76356.0
C4114,03,000,State - PUNJAB (03),75-79,256666.0,130203.0,126463.0,175972.0,89364.0,86608.0,80694.0,40839.0,39855.0
C4114,03,000,State - PUNJAB (03),80+,379501.0,186050.0,193451.0,274781.0,135823.0,138958.0,104720.0,50227.0,54493.0
C4114,03,000,State - PUNJAB (03),Age not stated,41522.0,22272.0,19250.0,29610.0,15833.0,13777.0,11912.0,6439.0,5473.0
C4114,04,000,State - CHANDIGARH (04),All ages,1055450.0,580663.0,474787.0,28991.0,17150.0,11841.0,1026459.0,563513.0,462946.0
