geo_code,geo_level,age_group,area,Total,sex
IN,country,0-4,Rural,39950283.0,Female
IN,country,5-9,Rural,44982353.0,Female
IN,country,10-14,Rural,46316336.0,Female
IN,country,15-19,Rural,39331915.0,Female
IN,country,20-24,Rural,35696384.0,Female
IN,country,25-29,Rural,32692281.0,Female
IN,country,30-34,Rural,28977587.0,Female
IN,country,35-39,Rural,27937146.0,Female
IN,country,40-44,Rural,23015773.0,Female
IN,country,45-49,Rural,19823958.0,Female
IN,country,50-54,Rural,15242241.0,Female
IN,country,55-59,Rural,13324985.0,Female
IN,country,60-64,Rural,13359653.0,Female
IN,country,65-69,Rural,9707959.0,Female
IN,country,70-74,Rural,6829421.0,Female
IN,country,75-79,Rural,3270293.0,Female
IN,country,80+,Rural,4129194.0,Female
IN,country,Age not stated,Rural,1380032.0,Female
1,state ,0-4,Rural,514398.0,Female
1,state ,5-9,Rural,524062.0,Female
1,state ,10-14,Rural,521725.0,Female
1,state ,15-19,Rural,449010.0,Female
1,state ,20-24,Rural,404069.0,Female
1,state ,25-29,Rural,353024.0,Female
1,state ,30-34,Rural,303075.0,Female
1,state ,35-39,Rural,274557.0,Female
1,state ,40-44,Rural,226234.0,Female
1,state ,45-49,Rural,190923.0,Female
1,state ,50-54,Rural,146188.0,Female
1,state ,55-59,Rural,112854.0,Female
1,state ,60-64,Rural,104765.0,Female
1,state ,65-69,Rural,69940.0,Female
1,state ,70-74,Rural,61307.0,Female
1,state ,75-79,Rural,28938.0,Female
1,state ,80+,Rural,44530.0,Female
1,state ,Age not stated,Rural,3984.0,Female
2,state ,0-4,Rural,239188.0,Female
2,state ,5-9,Rural,255118.0,Female
2,state ,10-14,Rural,274765.0,Female
2,state ,15-19,Rural,275437.0,Female
2,state ,20-24,Rural,288272.0,Female
2,state ,25-29,Rural,268589.0,Female
2,state ,30-34,Rural,246103.0,Female
2,state ,35-39,Rural,231369.0,Female
2,state ,40-44,Rural,199498.0,Female
2,state ,45-49,Rural,177304.0,Female
2,state ,50-54,Rural,149619.0,Female
2,state ,55-59,Rural,120095.0,Female
2,state ,60-64,Rural,106932.0,Female
2,state ,65-69,Rural,74146.0,Female
2,state ,70-74,Rural,63682.0,Female
2,state ,75-79,Rural,36397.0,Female
2,state ,80+,Rural,54704.0,Female
2,state ,Age not stated,Rural,4487.0,Female
3,state ,0-4,Rural,621385.0,Female
3,state ,5-9,Rural,679117.0,Female
3,state ,10-14,Rural,737462.0,Female
3,state ,15-19,Rural,810596.0,Female
3,state ,20-24,Rural,818094.0,Female
3,state ,25-29,Rural,717260.0,Female
3,state ,30-34,Rural,627238.0,Female
3,state ,35-39,Rural,598593.0,Female
3,state ,40-44,Rural,546738.0,Female
3,state ,45-49,Rural,469359.0,Female
3,state ,50-54,Rural,351994.0,Female
3,state ,55-59,Rural,285350.0,Female
3,state ,60-64,Rural,344904.0,Female
3,state ,65-69,Rural,238287.0,Female
3,state ,70-74,Rural,164996.0,Female
3,state ,75-79,Rural,86608.0,Female
3,state ,80+,Rural,138958.0,Female
3,state ,Age not stated,Rural,13777.0,Female
4,state ,0-4,Rural,1410.0,Female
4,state ,5-9,Rural,1349.0,Female
4,state ,10-14,Rural,1116.0,Female
4,state ,15-19,Rural,978.0,Female
4,state ,20-24,Rural,1338.0,Female
4,state ,25-29,Rural,1546.0,Female
4,state ,30-34,Rural,1199.0,Female
4,state ,35-39,Rural,866.0,Female
4,state ,40-44,Rural,600.0,Female
4,state ,45-49,Rural,411.0,Female
4,state ,50-54,Rural,308.0,Female
4,state ,55-59,Rural,231.0,Female
4,state ,60-64,Rural,204.0,Female
4,state ,65-69,Rural,115.0,Female
4,state ,70-74,Rural,85.0,Female
4,state ,75-79,Rural,32.0,Female
4,state ,80+,Rural,51.0,Female
4,state ,Age not stated,Rural,2.0,Female
5,state ,0-4,Rural,320356.0,Female
5,state ,5-9,Rural,366327.0,Female
5,state ,10-14,Rural,400840.0,Female
5,state ,15-19,Rural,385829.0,Female
5,state ,20-24,Rural,335596.0,Female
5,state ,25-29,Rural,276477.0,Female
5,state ,30-34,Rural,237266.0,Female
5,state ,35-39,Rural,226106.0,Female
5,state ,40-44,Rural,191592.0,Female
5,state ,45-49,Rural,164945.0,Female
5,state ,50-54,Rural,137037.0,Female
5,state ,55-59,Rural,120404.0,Female
5,state ,60-64,Rural,125528.0,Female
5,state ,65-69,Rural,84262.0,Female
5,state ,70-74,Rural,64302.0,Female
5,state ,75-79,Rural,33864.0,Female
5,state ,80+,Rural,42457.0,Female
5,state ,Age not stated,Rural,4724.0,Female
6,state ,0-4,Rural,732300.0,Female
6,state ,5-9,Rural,759410.0,Female
6,state ,10-14,Rural,816773.0,Female
6,state ,15-19,Rural,805600.0,Female
6,state ,20-24,Rural,769002.0,Female
6,state ,25-29,Rural,646512.0,Female
6,state ,30-34,Rural,568791.0,Female
6,state ,35-39,Rural,528103.0,Female
6,state ,40-44,Rural,451413.0,Female
6,state ,45-49,Rural,361716.0,Female
6,state ,50-54,Rural,279793.0,Female
6,state ,55-59,Rural,238544.0,Female
6,state ,60-64,Rural,297321.0,Female
6,state ,65-69,Rural,171688.0,Female
6,state ,70-74,Rural,129624.0,Female
6,state ,75-79,Rural,68863.0,Female
6,state ,80+,Rural,100330.0,Female
6,state ,Age not stated,Rural,9570.0,Female
7,state ,0-4,Rural,17644.0,Female
7,state ,5-9,Rural,18896.0,Female
7,state ,10-14,Rural,20404.0,Female
7,state ,15-19,Rural,19451.0,Female
7,state ,20-24,Rural,20602.0,Female
7,state ,25-29,Rural,18666.0,Female
7,state ,30-34,Rural,16402.0,Female
7,state ,35-39,Rural,14910.0,Female
7,state ,40-44,Rural,11782.0,Female
7,state ,45-49,Rural,8695.0,Female
7,state ,50-54,Rural,6430.0,Female
7,state ,55-59,Rural,4927.0,Female
7,state ,60-64,Rural,5924.0,Female
7,state ,65-69,Rural,2998.0,Female
7,state ,70-74,Rural,2147.0,Female
7,state ,75-79,Rural,1067.0,Female
7,state ,80+,Rural,1540.0,Female
7,state ,Age not stated,Rural,236.0,Female
8,state ,0-4,Rural,2725194.0,Female
8,state ,5-9,Rural,2989398.0,Female
8,state ,10-14,Rural,3090457.0,Female
8,state ,15-19,Rural,2578852.0,Female
8,state ,20-24,Rural,2211087.0,Female
8,state ,25-29,Rural,1850840.0,Female
