,geo_code,geo_level,Religion,TRU,Sex,Total
10,IN,country,Hindu,Rural,Male,351423647
11,IN,country,Muslim,Rural,Male,52870001
12,IN,country,Christian,Rural,Male,8295745
13,IN,country,Sikh,Rural,Male,7839048
14,IN,country,Buddhist,Rural,Male,2457022
15,IN,country,Jain,Rural,Male,467577
16,IN,country,Other religions and persuasions,Rural,Male,3583894
17,IN,country,Religion not stated,Rural,Male,844124
19,IN,country,Hindu,Urban,Male,146883321
20,IN,country,Muslim,Urban,Male,35403944
21,IN,country,Christian,Urban,Male,5455286
22,IN,country,Sikh,Urban,Male,3109383
23,IN,country,Buddhist,Urban,Male,1838988
24,IN,country,Jain,Urban,Male,1810520
25,IN,country,Other religions and persuasions,Urban,Male,368170
26,IN,country,Religion not stated,Urban,Male,619588
37,1,state,Hindu,Rural,Male,1361954
38,1,state,Muslim,Rural,Male,3284844
39,1,state,Christian,Rural,Male,9591
40,1,state,Sikh,Rural,Male,65442
41,1,state,Buddhist,Rural,Male,43724
42,1,state,Jain,Rural,Male,180
43,1,state,Other religions and persuasions,Rural,Male,664
44,1,state,Religion not stated,Rural,Male,8078
46,1,state,Hindu,Urban,Male,625067
47,1,state,Muslim,Urban,Male,1143930
48,1,state,Christian,Urban,Male,11932
49,1,state,Sikh,Urban,Male,67455
50,1,state,Buddhist,Urban,Male,12718
51,1,state,Jain,Urban,Male,1130
52,1,state,Other religions and persuasions,Urban,Male,138
53,1,state,Religion not stated,Urban,Male,3815
64,2,state,Hindu,Rural,Male,2973048
65,2,state,Muslim,Rural,Male,67345
66,2,state,Christian,Rural,Male,4426
67,2,state,Sikh,Rural,Male,29888
68,2,state,Buddhist,Rural,Male,31295
69,2,state,Jain,Rural,Male,251
70,2,state,Other religions and persuasions,Rural,Male,414
71,2,state,Religion not stated,Rural,Male,3678
73,2,state,Hindu,Urban,Male,333947
74,2,state,Muslim,Urban,Male,13418
75,2,state,Christian,Urban,Male,2418
76,2,state,Sikh,Urban,Male,11606
77,2,state,Buddhist,Urban,Male,8938
78,2,state,Jain,Urban,Male,694
79,2,state,Other religions and persuasions,Urban,Male,47
80,2,state,Religion not stated,Urban,Male,460
91,3,state,Hindu,Rural,Male,2305842
92,3,state,Muslim,Rural,Male,146824
93,3,state,Christian,Rural,Male,126885
94,3,state,Sikh,Rural,Male,6474159
95,3,state,Buddhist,Rural,Male,12090
96,3,state,Jain,Rural,Male,2328
97,3,state,Other religions and persuasions,Rural,Male,3467
98,3,state,Religion not stated,Rural,Male,21881
100,3,state,Hindu,Urban,Male,3378052
101,3,state,Muslim,Urban,Male,140710
102,3,state,Christian,Urban,Male,55156
103,3,state,Sikh,Urban,Male,1921638
104,3,state,Buddhist,Urban,Male,5086
105,3,state,Jain,Urban,Male,21232
106,3,state,Other religions and persuasions,Urban,Male,2268
107,3,state,Religion not stated,Urban,Male,21847
118,4,state,Hindu,Rural,Male,13981
119,4,state,Muslim,Rural,Male,805
120,4,state,Christian,Rural,Male,82
121,4,state,Sikh,Rural,Male,2251
122,4,state,Buddhist,Rural,Male,3
123,4,state,Jain,Rural,Male,7
124,4,state,Other religions and persuasions,Rural,Male,14
125,4,state,Religion not stated,Rural,Male,7
127,4,state,Hindu,Urban,Male,458788
128,4,state,Muslim,Urban,Male,29084
129,4,state,Christian,Urban,Male,4381
130,4,state,Sikh,Urban,Male,69049
131,4,state,Buddhist,Urban,Male,590
132,4,state,Jain,Urban,Male,990
133,4,state,Other religions and persuasions,Urban,Male,138
134,4,state,Religion not stated,Urban,Male,493
145,5,state,Hindu,Rural,Male,2993138
146,5,state,Muslim,Rural,Male,414079
147,5,state,Christian,Rural,Male,8703
148,5,state,Sikh,Rural,Male,93798
149,5,state,Buddhist,Rural,Male,4351
150,5,state,Jain,Rural,Male,510
151,5,state,Other religions and persuasions,Rural,Male,358
152,5,state,Religion not stated,Rural,Male,4105
154,5,state,Hindu,Urban,Male,1241246
155,5,state,Muslim,Urban,Male,325978
156,5,state,Christian,Urban,Male,10736
157,5,state,Sikh,Urban,Male,29781
158,5,state,Buddhist,Urban,Male,4559
159,5,state,Jain,Urban,Male,4237
160,5,state,Other religions and persuasions,Urban,Male,146
161,5,state,Religion not stated,Urban,Male,2048
172,6,state,Hindu,Rural,Male,7524114
173,6,state,Muslim,Rural,Male,747559
174,6,state,Christian,Rural,Male,9235
175,6,state,Sikh,Rural,Male,479305
176,6,state,Buddhist,Rural,Male,1562
177,6,state,Jain,Rural,Male,1871
178,6,state,Other religions and persuasions,Rural,Male,504
179,6,state,Religion not stated,Rural,Male,9856
181,6,state,Hindu,Urban,Male,4296968
182,6,state,Muslim,Urban,Male,192468
183,6,state,Christian,Urban,Male,16930
184,6,state,Sikh,Urban,Male,174163
185,6,state,Buddhist,Urban,Male,2537
186,6,state,Jain,Urban,Male,25487
187,6,state,Other religions and persuasions,Urban,Male,607
188,6,state,Religion not stated,Urban,Male,11568
199,7,state,Hindu,Rural,Male,207567
200,7,state,Muslim,Rural,Male,15703
201,7,state,Christian,Rural,Male,580
202,7,state,Sikh,Rural,Male,2105
203,7,state,Buddhist,Rural,Male,86
204,7,state,Jain,Rural,Male,94
205,7,state,Other religions and persuasions,Rural,Male,17
206,7,state,Religion not stated,Rural,Male,169
208,7,state,Hindu,Urban,Male,7146027
209,7,state,Muslim,Urban,Male,1148231
210,7,state,Christian,Urban,Male,70858
211,7,state,Sikh,Urban,Male,292298
212,7,state,Buddhist,Urban,Male,9520
213,7,state,Jain,Urban,Male,85511
214,7,state,Other religions and persuasions,Urban,Male,1131
215,7,state,Religion not stated,Urban,Male,7429
226,8,state,Hindu,Rural,Male,24505347
227,8,state,Muslim,Rural,Male,1626309
228,8,state,Christian,Rural,Male,23643
229,8,state,Sikh,Rural,Male,371222
230,8,state,Buddhist,Rural,Male,4202
231,8,state,Jain,Rural,Male,84649
232,8,state,Other religions and persuasions,Rural,Male,1731
233,8,state,Religion not stated,Rural,Male,24644
235,8,state,Hindu,Urban,Male,6980485
236,8,state,Muslim,Urban,Male,1567221
237,8,state,Christian,Urban,Male,25244
238,8,state,Sikh,Urban,Male,88184
239,8,state,Buddhist,Urban,Male,2180
240,8,state,Jain,Urban,Male,232965
241,8,state,Other religions and persuasions,Urban,Male,668
242,8,state,Religion not stated,Urban,Male,12303
253,9,state,Hindu,Rural,Male,67946465
254,9,state,Muslim,Rural,Male,12407505
255,9,state,Christian,Rural,Male,95851
256,9,state,Sikh,Rural,Male,228192
257,9,state,Buddhist,Rural,Male,91273
258,9,state,Jain,Rural,Male,15852
259,9,state,Other religions and persuasions,Rural,Male,4906
260,9,state,Religion not stated,Rural,Male,202951
262,9,state,Hindu,Urban,Male,15609259
263,9,state,Muslim,Urban,Male,7459809
264,9,state,Christian,Urban,Male,86987
265,9,state,Sikh,Urban,Male,113259
266,9,state,Buddhist,Urban,Male,16151
267,9,state,Jain,Urban,Male,95142
268,9,state,Other religions and persuasions,Urban,Male,2164
269,9,state,Religion not stated,Urban,Male,104744
280,10,state,Hindu,Rural,Male,40066887
281,10,state,Muslim,Rural,Male,7817335
282,10,state,Christian,Rural,Male,50483
283,10,state,Sikh,Rural,Male,6255
284,10,state,Buddhist,Rural,Male,12398
285,10,state,Jain,Rural,Male,3950
286,10,state,Other religions and persuasions,Rural,Male,6291
287,10,state,Religion not stated,Rural,Male,110251
289,10,state,Hindu,Urban,Male,4927618
290,10,state,Muslim,Urban,Male,1226751
291,10,state,Christian,Urban,Male,15632
292,10,state,Sikh,Urban,Male,6202
293,10,state,Buddhist,Urban,Male,1092
294,10,state,Jain,Urban,Male,5793
295,10,state,Other religions and persuasions,Urban,Male,542
296,10,state,Religion not stated,Urban,Male,20677
307,11,state,Hindu,Rural,Male,139660
308,11,state,Muslim,Rural,Male,2683
309,11,state,Christian,Rural,Male,23103
310,11,state,Sikh,Rural,Male,1477
311,11,state,Buddhist,Rural,Male,66943
312,11,state,Jain,Rural,Male,86
313,11,state,Other religions and persuasions,Rural,Male,8070
314,11,state,Religion not stated,Rural,Male,775
316,11,state,Hindu,Urban,Male,50312
317,11,state,Muslim,Urban,Male,3853
318,11,state,Christian,Urban,Male,7187
319,11,state,Sikh,Urban,Male,115
320,11,state,Buddhist,Urban,Male,18359
321,11,state,Jain,Urban,Male,95
322,11,state,Other religions and persuasions,Urban,Male,253
323,11,state,Religion not stated,Urban,Male,99
334,12,state,Hindu,Rural,Male,142358
335,12,state,Muslim,Rural,Male,7215
336,12,state,Christian,Rural,Male,172208
337,12,state,Sikh,Rural,Male,1318
338,12,state,Buddhist,Rural,Male,71613
339,12,state,Jain,Rural,Male,268
340,12,state,Other religions and persuasions,Rural,Male,148506
341,12,state,Religion not stated,Rural,Male,2525
343,12,state,Hindu,Urban,Male,82814
344,12,state,Muslim,Urban,Male,8338
345,12,state,Christian,Urban,Male,33588
346,12,state,Sikh,Urban,Male,1482
347,12,state,Buddhist,Urban,Male,9375
348,12,state,Jain,Urban,Male,103
349,12,state,Other religions and persuasions,Urban,Male,31538
350,12,state,Religion not stated,Urban,Male,663
361,13,state,Hindu,Rural,Male,38453
362,13,state,Muslim,Rural,Male,12723
363,13,state,Christian,Rural,Male,668171
364,13,state,Sikh,Rural,Male,999
365,13,state,Buddhist,Rural,Male,2385
366,13,state,Jain,Rural,Male,230
367,13,state,Other religions and persuasions,Rural,Male,1514
368,13,state,Religion not stated,Rural,Male,997
370,13,state,Hindu,Urban,Male,66398
371,13,state,Muslim,Urban,Male,15804
372,13,state,Christian,Urban,Male,213756
373,13,state,Sikh,Urban,Male,532
374,13,state,Buddhist,Urban,Male,1128
375,13,state,Jain,Urban,Male,1143
376,13,state,Other religions and persuasions,Urban,Male,106
377,13,state,Religion not stated,Urban,Male,310
388,14,state,Hindu,Rural,Male,331011
389,14,state,Muslim,Rural,Male,78777
390,14,state,Christian,Rural,Male,540712
391,14,state,Sikh,Rural,Male,513
392,14,state,Buddhist,Rural,Male,2407
393,14,state,Jain,Rural,Male,197
394,14,state,Other religions and persuasions,Rural,Male,69540
