geo_code,geo_level,area_type,Sex,edu_level,level_total
IN,country,Rural,Male,literate_without_level,12879121
IN,country,Urban,Male,literate_without_level,6399295
1,state,Rural,Male,literate_without_level,71510
1,state,Urban,Male,literate_without_level,52499
2,state,Rural,Male,literate_without_level,58588
2,state,Urban,Male,literate_without_level,5949
3,state,Rural,Male,literate_without_level,185107
3,state,Urban,Male,literate_without_level,114829
4,state,Rural,Male,literate_without_level,168
4,state,Urban,Male,literate_without_level,5418
5,state,Rural,Male,literate_without_level,47334
5,state,Urban,Male,literate_without_level,25562
6,state,Rural,Male,literate_without_level,129046
6,state,Urban,Male,literate_without_level,83213
7,state,Rural,Male,literate_without_level,4460
7,state,Urban,Male,literate_without_level,235492
8,state,Rural,Male,literate_without_level,791987
8,state,Urban,Male,literate_without_level,292861
9,state,Rural,Male,literate_without_level,2347662
9,state,Urban,Male,literate_without_level,871544
10,state,Rural,Male,literate_without_level,1550711
10,state,Urban,Male,literate_without_level,198215
11,state,Rural,Male,literate_without_level,8185
11,state,Urban,Male,literate_without_level,1973
12,state,Rural,Male,literate_without_level,9511
12,state,Urban,Male,literate_without_level,3018
13,state,Rural,Male,literate_without_level,27913
13,state,Urban,Male,literate_without_level,11426
14,state,Rural,Male,literate_without_level,35530
14,state,Urban,Male,literate_without_level,11903
15,state,Rural,Male,literate_without_level,3565
15,state,Urban,Male,literate_without_level,2723
16,state,Rural,Male,literate_without_level,56225
16,state,Urban,Male,literate_without_level,18700
17,state,Rural,Male,literate_without_level,34681
17,state,Urban,Male,literate_without_level,6428
18,state,Rural,Male,literate_without_level,440255
18,state,Urban,Male,literate_without_level,67359
19,state,Rural,Male,literate_without_level,647306
19,state,Urban,Male,literate_without_level,401660
20,state,Rural,Male,literate_without_level,365222
20,state,Urban,Male,literate_without_level,89268
21,state,Rural,Male,literate_without_level,364474
21,state,Urban,Male,literate_without_level,74323
22,state,Rural,Male,literate_without_level,156656
22,state,Urban,Male,literate_without_level,47946
23,state,Rural,Male,literate_without_level,757551
23,state,Urban,Male,literate_without_level,291422
24,state,Rural,Male,literate_without_level,685105
24,state,Urban,Male,literate_without_level,545601
25,state,Rural,Male,literate_without_level,739
25,state,Urban,Male,literate_without_level,3603
26,state,Rural,Male,literate_without_level,4237
26,state,Urban,Male,literate_without_level,4446
27,state,Rural,Male,literate_without_level,1232270
27,state,Urban,Male,literate_without_level,847476
28,state,Rural,Male,literate_without_level,1065591
28,state,Urban,Male,literate_without_level,675584
29,state,Rural,Male,literate_without_level,880268
29,state,Urban,Male,literate_without_level,474600
30,state,Rural,Male,literate_without_level,18560
30,state,Urban,Male,literate_without_level,26958
31,state,Rural,Male,literate_without_level,385
31,state,Urban,Male,literate_without_level,865
32,state,Rural,Male,literate_without_level,311567
32,state,Urban,Male,literate_without_level,289799
33,state,Rural,Male,literate_without_level,581196
33,state,Urban,Male,literate_without_level,607637
34,state,Rural,Male,literate_without_level,3669
34,state,Urban,Male,literate_without_level,7841
35,state,Rural,Male,literate_without_level,1887
35,state,Urban,Male,literate_without_level,1154
1,state,Rural,Male,literate_without_level,71510
1,state,Urban,Male,literate_without_level,52499
1,district,Rural,Male,literate_without_level,9018
1,district,Urban,Male,literate_without_level,2390
2,district,Rural,Male,literate_without_level,2952
2,district,Urban,Male,literate_without_level,4965
3,district,Rural,Male,literate_without_level,3050
3,district,Urban,Male,literate_without_level,2504
4,district,Rural,Male,literate_without_level,3334
4,district,Urban,Male,literate_without_level,587
5,district,Rural,Male,literate_without_level,3886
5,district,Urban,Male,literate_without_level,417
6,district,Rural,Male,literate_without_level,4195
6,district,Urban,Male,literate_without_level,568
7,district,Rural,Male,literate_without_level,2912
7,district,Urban,Male,literate_without_level,468
8,district,Rural,Male,literate_without_level,6448
8,district,Urban,Male,literate_without_level,3980
9,district,Rural,Male,literate_without_level,2915
9,district,Urban,Male,literate_without_level,1285
10,district,Rural,Male,literate_without_level,83
10,district,Urban,Male,literate_without_level,16208
11,district,Rural,Male,literate_without_level,2009
11,district,Urban,Male,literate_without_level,294
12,district,Rural,Male,literate_without_level,2620
12,district,Urban,Male,literate_without_level,500
13,district,Rural,Male,literate_without_level,1828
13,district,Urban,Male,literate_without_level,253
14,district,Rural,Male,literate_without_level,4675
14,district,Urban,Male,literate_without_level,3543
15,district,Rural,Male,literate_without_level,1901
15,district,Urban,Male,literate_without_level,1177
16,district,Rural,Male,literate_without_level,2641
