table,state_code,district_code,area_name,total,age_group,total_p,total_m,total_f,never_married_t,never_married_m,never_married_f,curr_married_t,curr_married_m,curr_married_f,widowed_t,widowed_m,widowed_f,separated_t,separated_m,separated_f,divorced_t,divorced_m,divorced_f,unspecified_t,unspecified_m,unspecified_f
C0402,0,0,INDIA,Total,All ages,1210854977,623270258,587584719,570833969,322870527,247963442,579584783,286507311,293077472,55538707,12277229,43261478,3535202,1162448,2372754,1362316,452743,909573,0,0,0
C0402,0,0,INDIA,Total,0-9,239734904,124932540,114802364,239734904,124932540,114802364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0402,0,0,INDIA,Total,10-14,132709212,69418835,63290377,129790438,68312261,61478177,2742714,1032903,1709811,100477,36830,63647,63478,31232,32246,12105,5609,6496,0,0,0
C0402,0,0,INDIA,Total,15-19,120526449,63982396,56544053,106188765,60873986,45314779,14010633,2999621,11011012,193733,63249,130484,101818,37223,64595,31500,8317,23183,0,0,0
C0402,0,0,INDIA,Total,20-24,111424222,57584693,53839529,56175036,39810362,16364674,54417955,17536278,36881677,437226,125774,311452,276865,81864,195001,117140,30415,86725,0,0,0
C0402,0,0,INDIA,Total,25-29,101413965,51344208,50069757,20948980,16551438,4397542,78981469,34374811,44606658,873244,230746,642498,422608,128577,294031,187664,58636,129028,0,0,0
C0402,0,0,INDIA,Total,30-34,88594951,44660674,43934277,6480174,5040404,1439770,79987358,39056059,40931299,1439180,343170,1096010,476673,148419,328254,211566,72622,138944,0,0,0
C0402,0,0,INDIA,Total,35-39,85140684,42919381,42221303,2731904,1961245,770659,79349364,40230399,39118965,2328273,488916,1839357,517039,163218,353821,214104,75603,138501,0,0,0
C0402,0,0,INDIA,Total,40-44,72438112,37545386,34892726,1558004,1053138,504866,67014828,35626363,31388465,3224938,655785,2569153,461425,147730,313695,178917,62370,116547,0,0,0
C0402,0,0,INDIA,Total,45-49,62318327,32138114,30180213,1002207,639703,362504,56741611,30533274,26208337,4072051,802340,3269711,369587,117276,252311,132871,45521,87350,0,0,0
C0402,0,0,INDIA,Total,50-54,49069254,25843266,23225988,743984,457795,286189,42991315,24268449,18722866,4969517,997044,3972473,270358,88259,182099,94080,31719,62361,0,0,0
C0402,0,0,INDIA,Total,55-59,39146055,19456012,19690043,538838,319498,219340,33352490,18034995,15317495,5018608,1022133,3996475,177465,59575,117890,58654,19811,38843,0,0,0
C0402,0,0,INDIA,Total,60-64,37663707,18701749,18961958,708607,401768,306839,28547631,16602813,11944818,8195162,1624055,6571107,163086,56848,106238,49221,16265,32956,0,0,0
C0402,0,0,INDIA,Total,65-69,26454983,12944326,13510657,631464,359778,271686,18340362,10995875,7344487,7354339,1540386,5813953,99556,38480,61076,29262,9807,19455,0,0,0
C0402,0,0,INDIA,Total,70-74,19208842,9651499,9557343,363176,213050,150126,11306190,7702423,3603767,7455300,1700141,5755159,64384,28880,35504,19792,7005,12787,0,0,0
C0402,0,0,INDIA,Total,75-79,9232503,4490603,4741900,178869,102364,76505,5067481,3363995,1703486,3949108,1007098,2942010,28308,14073,14235,8737,3073,5664,0,0,0
C0402,0,0,INDIA,Total,80+,11289005,5283695,6005310,668486,398118,270368,4841598,3274260,1567338,5735522,1591065,4144457,31682,16269,15413,11717,3983,7734,0,0,0
C0402,0,0,INDIA,Total,Age not stated,4489802,2372881,2116921,2390133,1443079,947054,1891784,874793,1016991,192029,48497,143532,10870,4525,6345,4986,1987,2999,0,0,0
C0402,0,0,INDIA,Total,Less than 18,444153330,232468505,211684825,436620461,230093499,206526962,7183814,2241084,4942730,215513,73619,141894,109693,50723,58970,23849,9580,14269,0,0,0
C0402,0,0,INDIA,Total,Less than 21,521853300,273225936,248627364,493627341,266276618,227350723,27544853,6718043,20826810,394173,128092,266081,221182,84319,136863,65751,18864,46887,0,0,0
